trade_date,id,num,total_price
1997-12-07,00096,1,248.49
1997-12-02,00126,2,292.98
1997-03-19,00411,2,318.74
1997-01-05,01038,1,283.97
1997-01-05,01059,1,155.37
1997-01-06,01282,1,283.97
1997-01-07,01661,1,174.99
1997-01-08,01959,1,122.77
1997-01-09,02232,1,268.32
1997-01-10,02327,1,156.37
1997-10-25,02564,1,118.99
1997-06-17,02647,2,335.14
1997-08-24,02647,2,354.74
1997-01-12,02756,1,199.99
1997-01-30,03384,1,121.77
1997-07-05,04225,1,149.99
1998-05-04,04995,1,118.99
1997-05-03,06126,1,118.9
1997-01-25,06392,1,109.99
1997-01-25,06458,1,208.77
1997-03-20,06804,1,127.7
1997-01-28,07203,1,127.7
1997-01-29,07434,1,146.77
1997-02-27,07434,1,146.77
1997-02-11,07901,1,162.99
1998-06-12,08037,2,366.98
1997-02-04,09355,1,253.97
1997-02-10,09355,4,498.48
1998-05-24,09743,3,314.36
1998-03-06,10043,1,103.99
1998-05-07,10586,3,311.47
1998-01-28,10621,1,258.99
1997-02-09,11001,1,136.77
1997-02-09,11047,1,104.77
1997-06-03,11245,1,219.77
1997-07-31,11245,1,219.37
1997-11-14,11827,1,224.99
1997-04-01,12610,1,140.37
1997-07-20,12860,1,118.9
1997-02-16,13070,2,214.95
1997-02-17,13157,1,155.37
1997-04-02,13274,1,139.99
1997-03-05,13361,1,155.37
1997-02-19,13925,1,108.97
1997-05-12,14039,1,129.99
1997-03-19,14569,1,151.77
1997-06-19,14569,1,151.77
1997-02-22,14700,1,162.99
1997-02-24,15178,1,109.99
1997-03-24,15375,1,103.99
1997-05-15,15375,1,103.99
1997-08-27,15838,1,122.37
1998-04-07,17255,1,159.49
1998-05-16,17255,1,159.49
1997-05-19,17272,1,138.99
1998-03-06,17763,1,103.99
1997-11-30,18710,1,224.99
1997-03-18,19020,1,143.99
1998-03-06,19066,1,103.99
1997-12-19,19202,1,139.49
1998-01-27,19202,1,139.49
1998-03-24,19215,1,305.99
1997-04-02,19377,1,136.77
1997-11-26,19391,1,134.49
1997-03-12,20208,1,103.99
1997-03-12,20256,1,138.77
1997-03-12,20272,1,283.97
1998-06-13,20420,2,275.98
1997-03-13,20447,1,103.99
1997-11-28,20777,1,166.99
1997-11-28,20777,1,166.99
1997-09-08,20840,1,122.37
1997-08-23,20944,1,107.38
1997-03-15,21017,1,132.97
1997-03-16,21319,2,222.34
1997-05-05,22102,1,149.99
1998-03-17,22356,1,103.99
1998-05-07,22586,1,219.49
1997-03-22,22803,1,121.37
1997-06-02,23391,1,122.77
